Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-137360,125391,Auto Generated SSH Keypair requires refresh to display on new SSH Connection creation,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,29/Aug/25 11:21 AM,03/Sep/25 10:45 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),SCALE-25.10-RC.1 (Goldeye),,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Bug
NAS-137350,125352,25.10-BETA.1 will not upgrade if there are 3 or more partitions and one is not BIOS,N/A,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,28/Aug/25 5:16 PM,03/Sep/25 8:58 AM,High,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Bug
NAS-136321,123031,Show TNC icon by default,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,13/Jun/25 11:08 AM,03/Sep/25 8:09 AM,High,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,july-2510,,,Improvement
NAS-137385,125472,Disk temperature threshold alert,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Sep/25 1:40 PM,03/Sep/25 6:25 AM,High,Complete,SCALE-25.10-BETA.1 (Goldeye),,,,COMMUNITY_USER,waiting_for_feedback,,,Bug
NAS-137326,125296,Use common error code for `NetworkActivityDisabled` (`ENONET`),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 7:05 AM,03/Sep/25 4:37 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137404,125516,Add a progress message for NFSv4 ACLs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,02/Sep/25 3:49 PM,02/Sep/25 4:11 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-136352,123158,Save webserver logs: We need to configure nginx to keep logs rather than sending them to /dev/null.,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,17/Jun/25 10:03 AM,02/Sep/25 11:53 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,Engineering Private,IX_EMPLOYEE,,,,New Feature
NAS-136353,123161,"Web Server STIG For STIG mode, the nginx configuration needs to change a bit",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,17/Jun/25 10:06 AM,02/Sep/25 11:53 AM,High,Complete,,,,Engineering Private,IX_EMPLOYEE,,,,New Feature
NAS-137324,125294,add nginx logrotate file to fix build,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 6:43 AM,02/Sep/25 11:53 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137325,125295,use upstream nginx logrotate.d file,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 6:56 AM,02/Sep/25 11:52 AM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137277,125163,Create Remote Path error appears when attempt to configure a Rsync Task using a Rsync Module,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,22/Aug/25 2:25 PM,02/Sep/25 8:19 AM,Low,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137265,125137,Unable to install MinIO enterprise app,N/A,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),Done,21/Aug/25 4:16 PM,29/Aug/25 6:44 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Bug
NAS-137088,124775,"Outbound Network Allow All Except ""Upgrade"" does not function properly",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Aug/25 4:28 PM,28/Aug/25 6:50 PM,Medium,Complete,SCALE-25.04.2.1 (Fangtooth),SCALE-25.10.0 (Goldeye),,iX Private,IX_EMPLOYEE,ready_for_review,,,Defect
NAS-136827,124260,Add JBOF visualization tool for support and ixdiagnose use,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,22/Jul/25 5:07 PM,28/Aug/25 3:55 PM,Medium,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,iX Private,COMMUNITY_USER,,,,New Feature
NAS-137336,125324,Fix slide-in form race conditions causing display and closing issues,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 4:09 PM,28/Aug/25 3:15 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137346,125338,Add some basic unit tests for nsupdate state,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,28/Aug/25 8:27 AM,28/Aug/25 11:45 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137297,125246,TestNFSOps.test_service_updat failing API tests,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 7:32 AM,28/Aug/25 11:38 AM,Medium,Complete,,,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-121593,75574,"TrueNAS only registers to DNS once, gets culled by stale record cleanup.",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,20/Apr/23 10:56 AM,28/Aug/25 7:32 AM,Medium,Complete,13.0-U4,,,,FTalpha2beta,july-2510,,,Improvement
NAS-137299,125248,test_070_alertservice.test_alertservice_2504 failing API test,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 7:35 AM,28/Aug/25 6:37 AM,Medium,Complete,,,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137310,125266,Fix WebSocket connection state sync issue by updating isConnectionLive$ on open,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 12:33 PM,27/Aug/25 10:42 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-136964,124556,Directory Services summary for LDAP always shows BindDN,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,01/Aug/25 2:44 PM,27/Aug/25 8:42 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,ready_for_assignment,,Improvement
NAS-137243,125114,Add User (WIP) Additional Details Settings Do Not Show On Screen,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,20/Aug/25 1:19 PM,27/Aug/25 8:23 AM,Low,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137014,124656,Expose web_port attribute in the UI for display devices in VMs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,05/Aug/25 7:12 AM,27/Aug/25 8:15 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,tests_impact,,Improvement
NAS-137318,125282,Generate session ids from FIPS random number generator (ssl.RAND_bytes),SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 3:24 PM,27/Aug/25 7:45 AM,High,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-137319,125283,Use a better defined code in update.status for blocked network activity,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 3:38 PM,27/Aug/25 6:08 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-137307,125260,Remove ana_enabled and rdma_enabled from nvmet.global public API,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 11:19 AM,26/Aug/25 11:34 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Improvement
NAS-137053,124725,Implement iframe for TNC system registration,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,07/Aug/25 1:35 AM,26/Aug/25 11:33 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-137253,125124,NVMe-oF (RDMA): can not possible to enable RDMA for the service of NVMe-oF ,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,21/Aug/25 10:55 AM,26/Aug/25 11:19 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137070,124748,Add check_key method for crypto object in truenas_pylibzfs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,07/Aug/25 3:16 PM,26/Aug/25 7:35 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137103,124808,Storage > Disks Screen Does Not Reliably Update After Disk Resize,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,11/Aug/25 2:39 PM,25/Aug/25 4:03 PM,High,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137288,125231,Improve JBOF error message when cannot contact HA peer node,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,25/Aug/25 3:43 PM,25/Aug/25 3:48 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137198,125012,"Users page shows ""can not retreive response"" due to invalid email address",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,17/Aug/25 4:47 AM,25/Aug/25 3:24 PM,Medium,Complete,SCALE-25.04.2.1 (Fangtooth),,,,COMMUNITY_USER,,,,Bug
NAS-137241,125111,UI does not present any warnings when adding a special or dedup vdev that lacks redundancy,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,20/Aug/25 12:18 PM,25/Aug/25 1:25 PM,High,Complete,,,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137239,125105,Switching from Advanced Back to Basic Search Leaves Builtin-users in User Table,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,20/Aug/25 10:59 AM,25/Aug/25 1:24 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_review,,,Defect
NAS-137287,125230,fix extremely slow start-up times for fenced,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,25/Aug/25 11:48 AM,25/Aug/25 12:03 PM,Blocker,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-135324,120126,"R20 image is not branded, not the R20B bezel",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,14/Apr/25 2:07 PM,25/Aug/25 11:57 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,es-2510,IX_EMPLOYEE,july-2510,,Bug
NAS-135923,121841,"Instance shell: the ""Reconnect"" button doesn't work after an instance reboot",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,18/May/25 10:00 AM,25/Aug/25 11:57 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,Debug_Linked,es-backlog,ready_for_review,,Bug
NAS-137096,124791,Time sort for frequency is incorrect,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,11/Aug/25 7:09 AM,25/Aug/25 11:57 AM,Low,Complete,SCALE-25.04.2 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-137150,124880,Private Key and Passphrase Validation Errors when Importing CSR,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,13/Aug/25 12:17 PM,25/Aug/25 11:56 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137170,124954,Save buttons showing error dialog instead of being locked and inaccessible on Users (WIP) screen for Restricted admins,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,14/Aug/25 4:17 PM,25/Aug/25 11:55 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137233,125099,Custom App -> Notes is not rendering any input,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,20/Aug/25 5:51 AM,25/Aug/25 11:54 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,es-2510,IX_EMPLOYEE,july-2510,,Bug
NAS-137286,125228,Expose TNC by default in NAS UI,SCALE-25.10-RC.1 (Goldeye),,,Done,25/Aug/25 10:50 AM,25/Aug/25 11:06 AM,High,Complete,,,,iX Private,IX_EMPLOYEE,,,,New Feature
NAS-137285,125227,Allow deletion of multiple snapshots in same ds,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,25/Aug/25 9:05 AM,25/Aug/25 10:37 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137274,125153,Add pattern matching for zfs snapshot destruction,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,22/Aug/25 11:44 AM,22/Aug/25 12:15 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-136901,124423,Fix `Downloaded update file size mismatch` on unstable connections,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,30/Jul/25 7:52 AM,22/Aug/25 5:15 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137205,125023,Fix integration tests dataset name,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,18/Aug/25 5:59 AM,22/Aug/25 5:15 AM,Low,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137264,125136,Add channel program to destroy snapshots,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,21/Aug/25 4:14 PM,21/Aug/25 9:15 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137171,124955,NFS server needs to support 'scope' setting for HA systems,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,14/Aug/25 4:26 PM,20/Aug/25 11:26 AM,High,Complete,,,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137236,125102,Grab additional metrics from docker in debug,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,20/Aug/25 8:44 AM,20/Aug/25 9:07 AM,Low,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-136877,124347,command parameter is treated as number instead of string,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Jul/25 5:03 PM,19/Aug/25 4:53 PM,Medium,Complete,SCALE-24.10.2.2 (ElectricEel),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-137201,125017,Remove old SMART calls,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,17/Aug/25 5:45 PM,19/Aug/25 4:49 PM,Low,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137202,125018,Better handle closed connection case when checking docker image updates,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,17/Aug/25 5:56 PM,19/Aug/25 4:49 PM,Low,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137107,124821,Cloud sync Task: Custom schedule is not working,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,11/Aug/25 4:17 PM,19/Aug/25 11:56 AM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137166,124944,Add new pool object methods,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,14/Aug/25 12:40 PM,18/Aug/25 4:14 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137087,124774,Add channel program wrapper,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Aug/25 3:03 PM,18/Aug/25 2:01 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137160,124905,Add iter_pools module method,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,14/Aug/25 7:48 AM,18/Aug/25 9:37 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137208,125030,Craft a better zpool destroy history message,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,18/Aug/25 9:01 AM,18/Aug/25 9:12 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137167,124946,Move zpool_destroy method to libzfs object,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,14/Aug/25 1:29 PM,18/Aug/25 9:01 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137061,124735,Validation error on optional API URL field when adding OpsGenie Alert Service,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,07/Aug/25 10:35 AM,15/Aug/25 3:28 PM,Low,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137161,124906,NAS-135444: Clean up build scripts and remove unused dependencies,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,14/Aug/25 8:55 AM,14/Aug/25 4:25 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137085,124772,Prevented from creating encrypted zvol with error stating I cannot create unencrypted zvol,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Aug/25 2:21 PM,14/Aug/25 4:24 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137153,124887,Update angular to 20.1,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,13/Aug/25 3:15 PM,14/Aug/25 7:58 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-136799,124205,"To block feedback/bugs on experimental builds, gray out button.",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),SCALE-26.04-BETA.1 (Halfmoon),Done,21/Jul/25 7:30 AM,13/Aug/25 3:58 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-136921,124461,asyncio_loop memory leak,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,31/Jul/25 6:58 AM,13/Aug/25 8:45 AM,Blocker,Complete,SCALE-25.04.2 (Fangtooth),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-136903,124425,Validation Inconsistency in Storage Disk Source Field of Container Form,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,30/Jul/25 10:08 AM,11/Aug/25 4:52 PM,Low,Complete,SCALE-25.10-BETA.1 (Goldeye),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-136988,124612,Fix and improve External Share for Goldeye,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Aug/25 8:45 AM,11/Aug/25 4:52 PM,Medium,Complete,SCALE-25.04.2 (Fangtooth),,,iX Private,IX_EMPLOYEE,ready_for_assignment,,,Defect
NAS-137081,124767,Add docstring for destroy_resource method,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Aug/25 10:18 AM,08/Aug/25 2:41 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137080,124765,Add documentation for create_resource method in truenas_pylibzfs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/Aug/25 9:24 AM,08/Aug/25 9:44 AM,Medium,Complete,SCALE-24.10-BETA.1 (ElectricEel),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137045,124707,Add ability to create encrypted datasets / volumes to truenas_pylibzfs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,06/Aug/25 8:30 AM,07/Aug/25 3:42 PM,High,Complete,,,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137068,124746,Add retry logic for zfs_userspace iterator in truenas_pylibzfs,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,07/Aug/25 1:14 PM,07/Aug/25 3:24 PM,Medium,Complete,SCALE-25.10-BETA.1 (Goldeye),,,,,,,,Defect
NAS-135778,121325,"TNC: Blue dot for ""active"" TrueNAS connect provides information that's not really useful (and very much ""look at me!"")",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,08/May/25 8:27 AM,05/Aug/25 2:57 PM,Medium,Complete,,,,iX Private,IX_EMPLOYEE,,,,Bug
NAS-137010,124649,Cache function pointers to nss module functions,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Aug/25 9:19 PM,05/Aug/25 12:48 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137029,124678,Remove global 2fa check to unset 2FA token,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,05/Aug/25 12:14 PM,05/Aug/25 12:48 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-136957,124545,branch for 25.10,SCALE-25.10-RC.1 (Goldeye),,,Done,01/Aug/25 12:49 PM,02/Aug/25 10:24 AM,High,Complete,SCALE-25.10-RC.1 (Goldeye),,,iX Private,IX_EMPLOYEE,,,,Defect
