Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-134929,118911,load drivetemp kernel module at boot,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,20/Mar/25 7:10 AM,20/Mar/25 8:42 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,IX_EMPLOYEE,,,,Improvement
NAS-134943,118978,Improvements to NIC form,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Mar/25 7:43 AM,31/Mar/25 7:02 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134945,118980,Relax component naming requirements,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Mar/25 7:50 AM,24/Mar/25 9:54 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134975,119090,Sorting apps by Updated Date: Everything updated in the last 24 Hours?,SCALE-25.10-BETA.1 (Goldeye),,,,Done,24/Mar/25 4:10 AM,25/Jul/25 9:47 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,jirabug,july-2510,,Bug
NAS-134984,119108,New styles for update page,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,24/Mar/25 8:51 AM,03/Jun/25 8:47 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,New Feature
NAS-134990,119127,Fix some Sentry errors,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,24/Mar/25 12:52 PM,25/Mar/25 9:32 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134995,119176,"Sort Apps by title, not by an internal key string",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Mar/25 9:33 AM,31/Mar/25 7:02 AM,Low,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Bug
NAS-134997,119179,More Sentry fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Mar/25 10:21 AM,26/Mar/25 5:53 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135011,119207,[BUG] email showing wrong SMTP server than what is configured.,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Mar/25 4:59 PM,07/Apr/25 5:11 AM,Low,Complete,SCALE-25.04-RC.1 (Fangtooth),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-135020,119245,Improve overall SMART experience,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,26/Mar/25 8:54 AM,18/Aug/25 1:08 PM,Low,Complete,,,,,improvement,IX_EMPLOYEE,,,Epic
NAS-135022,119248,Improve Sentry privacy,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,26/Mar/25 10:15 AM,28/Mar/25 8:38 AM,Low,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135036,119282,Save configuation error,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,26/Mar/25 6:24 PM,07/Apr/25 8:46 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,jirabug,,,Bug
NAS-135044,119302,Strict null fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,27/Mar/25 8:02 AM,01/Apr/25 2:53 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135046,119308,Make login page more resilient,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,27/Mar/25 9:25 AM,29/Apr/25 11:30 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135049,119314,Get rid of jobs in JSON-RPC 2.0 API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,27/Mar/25 10:59 AM,14/Apr/25 4:20 PM,Undefined,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-135063,119348,Rsync Task - Auxiliary parameter goes off screen,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,28/Mar/25 2:56 AM,30/Jun/25 6:35 AM,Low,Complete,SCALE-24.10.2 (ElectricEel),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-135082,119408,Some (French) translations doesn't work in /ui/system/general - Not FIX,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,30/Mar/25 8:27 AM,04/Apr/25 4:17 AM,Low,Complete,Master - TrueNAS Nightlies,SCALE-24.10.0 (ElectricEel),,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-135089,119429,Merge two profile cards on new users page,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,31/Mar/25 7:03 AM,07/Apr/25 5:10 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135091,119433,"Do not send { ""failed_to_connect"": true } in `reporting.realtime`",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,31/Mar/25 7:56 AM,31/Mar/25 1:50 PM,Low,Complete,,,,,from_Sentry,IX_EMPLOYEE,,,Bug
NAS-135093,119435,Remove Certificate Authorities table and other Sentry fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,31/Mar/25 8:15 AM,07/Apr/25 11:36 AM,Low,Complete,,,,,doc_impact,from_Sentry,IX_EMPLOYEE,,Bug
NAS-135110,119472,Audit Event Data widget should include the 'success' value,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,31/Mar/25 7:00 PM,07/Apr/25 5:10 AM,Low,Complete,,,,,IX_EMPLOYEE,ready_for_review,,,Improvement
NAS-135113,119507,update APT repos for GE,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,01/Apr/25 8:00 AM,21/May/25 6:50 PM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,IX_EMPLOYEE,,,,New Feature
NAS-135116,119514,remove annotated_types module usage,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,01/Apr/25 9:39 AM,03/Apr/25 1:04 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135124,119528,Custom Apps stopped showing updates,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,01/Apr/25 12:03 PM,28/Apr/25 7:58 AM,Low,Complete,SCALE-24.10.2 (ElectricEel),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-135129,119563,Explore treemaps for space usage,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,02/Apr/25 3:42 AM,03/Apr/25 6:00 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-135150,119634,Move `system.boot_id` to global API space,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,03/Apr/25 8:02 AM,10/Apr/25 7:18 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135153,119643,"Email failed to send, but page does not indicate a problem",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,03/Apr/25 10:04 AM,07/Apr/25 4:45 PM,Low,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Bug
NAS-135157,119648,Remember user selected columns in tables,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,03/Apr/25 11:01 AM,14/Apr/25 4:35 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135159,119651,Simplify core experiences in the UI,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,03/Apr/25 11:27 AM,31/Jul/25 10:54 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Epic
NAS-135168,119669,Adapt to changes in crypto plugin on UI side,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,03/Apr/25 1:19 PM,14/Apr/25 2:36 PM,Medium,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135178,119692,Add claude.md,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,04/Apr/25 5:12 AM,04/Apr/25 7:25 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135189,119713,Add stats to instances table,SCALE-25.10-BETA.1 (Goldeye),,,,Done,04/Apr/25 9:06 AM,22/Jul/25 5:29 AM,Low,Complete,,,,,doc_impact,IX_EMPLOYEE,july-2510,,New Feature
NAS-135191,119716,network io in widget is incorrect,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,04/Apr/25 9:58 AM,10/Jun/25 8:22 PM,Low,Complete,SCALE-25.04-RC.1 (Fangtooth),,,,IX_EMPLOYEE,ready_for_assignment,,,Bug
NAS-135200,119747,Unable to authenticate directory users to FTP,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,05/Apr/25 3:10 AM,25/Jun/25 6:52 PM,Medium,Complete,SCALE-24.10.2 (ElectricEel),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-135202,119752,"Scrutiny widget opens ""web portal"" to influxdb, not the scrutiny web ui",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,05/Apr/25 9:55 AM,12/May/25 3:38 AM,Low,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Bug
NAS-135204,119758,Local Replication Task Creation Hangs Indefinitely,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,05/Apr/25 1:07 PM,14/Jul/25 3:27 AM,Low,Complete,SCALE-24.10.2.1 (ElectricEel),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-135214,119811,Improvements for new user form,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,07/Apr/25 8:57 AM,14/Apr/25 4:35 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Improvement
NAS-135216,119814,Build generic search filter presets component,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,07/Apr/25 9:33 AM,05/May/25 3:51 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,New Feature
NAS-135217,119815,Reduce usages of ChangeDetectorRef,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,07/Apr/25 9:36 AM,09/Apr/25 8:09 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135230,119867,Build form inline editing component,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,08/Apr/25 5:29 AM,21/Apr/25 12:05 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-135232,119870,Consume global `system.boot_id`,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,08/Apr/25 6:50 AM,12/May/25 3:38 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135233,119872,Use ix-table for new user list,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,08/Apr/25 8:17 AM,19/Apr/25 6:24 AM,High,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Improvement
NAS-135235,119876,Simplify EmailCardComponent,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,08/Apr/25 10:40 AM,09/Apr/25 4:54 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135251,119941,Move Create Dataset in explorer,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,09/Apr/25 6:23 AM,29/Apr/25 12:49 PM,Low,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135252,119942,Fix various UX issues,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,09/Apr/25 6:28 AM,11/Aug/25 11:27 AM,Low,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135253,119943,Simplify Network page – forms,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,09/Apr/25 6:29 AM,15/May/25 11:47 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135256,119946,Simplify Services page,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,09/Apr/25 6:35 AM,02/May/25 5:10 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135257,119947,Simplify Shell page,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,,Done,09/Apr/25 6:36 AM,28/Apr/25 3:59 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135258,119948,Improvements for new user form v2,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,09/Apr/25 7:15 AM,21/Apr/25 5:00 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Improvement
NAS-135259,119949,Be more strict about unused icons,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,09/Apr/25 8:26 AM,09/Apr/25 9:19 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135267,119967,Use new feature for columns (remembering state) for all tables with column selection,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,09/Apr/25 12:15 PM,14/Apr/25 4:35 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135278,120006,`*.query` events sent from `_get_crud_wrapper_func` must include `fields`,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Apr/25 10:17 AM,11/Apr/25 4:18 AM,Undefined,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,,IX_EMPLOYEE,,,,Improvement
NAS-135314,120108,ui/signin page should give focus to username,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,14/Apr/25 9:16 AM,14/Jul/25 3:27 AM,Low,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Bug
NAS-135317,120114,"Add ""cache_path"" for cloud backup tasks",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,14/Apr/25 9:49 AM,23/Apr/25 10:57 AM,High,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135328,120132,Switch UI to new-style jobs,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,14/Apr/25 4:19 PM,28/May/25 5:36 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135333,120147,Implement linking to a user on the new users page via a url,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,15/Apr/25 7:51 AM,30/Jun/25 8:50 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-135344,120168,Simplify some topbar items,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,15/Apr/25 12:23 PM,05/Aug/25 7:42 AM,Low,Complete,,,,,doc_impact,doc_resolved,IX_EMPLOYEE,,Improvement
NAS-135354,120211,Apps broken after upgrading to latest GE nightly.,SCALE-24.10-ALPHA.1 (ElectricEel),SCALE-25.10-ALPHA.1 (Goldeye),,,Done,15/Apr/25 9:38 PM,28/Apr/25 6:38 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Bug
NAS-135357,120218,SMB Share user passwords break on every reboot,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,15/Apr/25 11:37 PM,16/Apr/25 12:29 PM,High,Complete,SCALE-25.04.0 (Fangtooth),,,,COMMUNITY_USER,,,,Bug
NAS-135360,120225,Add advanced user fields for new form,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,16/Apr/25 3:58 AM,08/May/25 8:52 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135362,120228,Simplify Datasets page – pass 1,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,16/Apr/25 6:04 AM,08/May/25 2:34 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135364,120233,Simply Storage Dashboard – pass 1,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,16/Apr/25 6:18 AM,21/Aug/25 4:24 PM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135413,120365,Add support for privileged containers,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,17/Apr/25 12:29 PM,15/May/25 8:18 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135414,120367,Convert support.* to versioned API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,17/Apr/25 12:40 PM,21/Apr/25 2:24 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135416,120371,Model is not properly set in TNC when TNC is set in tn installer,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,17/Apr/25 1:25 PM,13/Jun/25 5:06 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Bug
NAS-135417,120372,Size column defaults to NaN B for many fo the list,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,17/Apr/25 1:38 PM,29/May/25 2:50 PM,Low,Complete,SCALE-25.04.0 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-135435,120410,NFS client name with binary data does not play nice in the webinterface,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,18/Apr/25 4:33 AM,21/May/25 3:33 PM,Low,Complete,SCALE-24.10.2.1 (ElectricEel),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-135438,120413,Update usage collection tooltip,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,18/Apr/25 8:24 AM,21/Apr/25 6:04 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135454,120460,Instances (incus) do not restart after unlocking a dataset with a passphrase,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,19/Apr/25 10:48 AM,13/Jun/25 1:21 PM,Low,Complete,Master - TrueNAS Nightlies,,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-135467,120493,Stop showing stack trace in error dialogs by default,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Apr/25 6:32 AM,22/Apr/25 9:15 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135469,120497,Move Failover settings under Advanced Settings,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Apr/25 8:51 AM,23/Apr/25 11:09 AM,Low,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135486,120562,Move Network under System,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,22/Apr/25 6:12 AM,25/Apr/25 5:34 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135487,120563,Simplify system settings – pass 1,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,22/Apr/25 6:18 AM,23/Apr/25 11:10 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135491,120576,Allow specifying image OS for virt VMs in UI,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,22/Apr/25 12:01 PM,18/Aug/25 1:38 PM,Low,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135493,120579,Allow specifying mac address for a NIC device in virt instances in UI,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,22/Apr/25 12:06 PM,01/May/25 3:28 PM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135498,120620,Clean up helptext,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,22/Apr/25 3:00 PM,23/Apr/25 7:45 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135499,120623,VM crashes every couple of days. Cannot restart.,SCALE-25.04.2 (Fangtooth),SCALE-25.10-ALPHA.1 (Goldeye),,,Done,22/Apr/25 3:53 PM,21/May/25 9:35 AM,Low,Complete,SCALE-25.04.0 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,ready_for_review,release_notes_mention,Bug
NAS-135501,120629,instance container CallError,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,22/Apr/25 5:07 PM,30/Jun/25 8:21 AM,Low,Complete,SCALE-25.04.0 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-135505,120648,Strongly typed translations,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,23/Apr/25 7:43 AM,24/Apr/25 2:37 AM,Medium,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135508,120651,Update how we work with nodes in ix-explorer,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,23/Apr/25 8:12 AM,19/May/25 8:53 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135509,120654,Make share validation inline,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,23/Apr/25 8:28 AM,16/Jun/25 5:18 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135512,120658,Reduce number of errors logged to Sentry,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,23/Apr/25 9:02 AM,24/Apr/25 2:06 PM,Medium,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135519,120685,"Using Paper theme, many dropdowns are barely visible",SCALE-25.10-BETA.1 (Goldeye),,,,Done,23/Apr/25 12:40 PM,29/Jul/25 4:17 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,COMMUNITY_USER,es-2510,july-2510,ready_for_assignment,Bug
NAS-135549,120783,Introduce translateOptions pipe,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Apr/25 7:36 AM,28/Apr/25 5:24 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135555,120794,Simplify scrub tasks,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Apr/25 9:26 AM,05/May/25 5:22 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135556,120796,Simplify Datasets and Storage – pass 2,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Apr/25 11:20 AM,21/Aug/25 4:22 PM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135560,120807,Clean up helptext,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Apr/25 1:12 PM,28/Apr/25 6:05 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135572,120832,Drive Temperature Not Reporting on Any Pool,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,25/Apr/25 8:11 PM,12/Aug/25 9:23 AM,Blocker,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-135592,120887,Adapt new password fields in new user page,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,28/Apr/25 6:32 AM,06/May/25 8:14 AM,Low,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Improvement
NAS-135611,120924,Switch to 3 dot menu for Shares and Data Protection,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,29/Apr/25 8:14 AM,09/May/25 10:03 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135613,120926,Simplify Network page – tables,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,29/Apr/25 8:33 AM,03/Jun/25 8:31 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135631,120976,Branch out apt mirrors for GE,SCALE-25.10-BETA.1 (Goldeye),,,,Done,30/Apr/25 9:18 AM,21/May/25 6:47 PM,Undefined,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-135653,121036,Incorrect Snapshots Displayed in 'Manage Snapshots' for Dataset,SCALE-25.10-BETA.1 (Goldeye),,,,Done,01/May/25 2:16 PM,24/Jul/25 12:05 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,COMMUNITY_USER,es-backlog,ready_for_assignment,,Bug
NAS-135664,121066,Incorrect snapshot Last Run shows N/A,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,02/May/25 10:06 AM,08/May/25 7:41 AM,Medium,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Bug
NAS-135667,121072,Fix update.get_pending,SCALE-25.04.2 (Fangtooth),SCALE-25.10-ALPHA.1 (Goldeye),,,Done,02/May/25 10:48 AM,28/May/25 7:27 AM,Medium,Complete,SCALE-25.10-ALPHA.1 (Goldeye),,,,IX_EMPLOYEE,,,,Defect
NAS-135671,121081,[KRB5KDC_ERR_PREAUTH_FAILED] Errors on AD Often,SCALE-25.04.2 (Fangtooth),SCALE-25.10-ALPHA.1 (Goldeye),,,Done,02/May/25 11:29 AM,23/Jun/25 11:50 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-135672,121083,Clean up helptext,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,02/May/25 12:17 PM,06/May/25 5:56 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-135700,121127,Unable to create a bond interface python input validation errors,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,04/May/25 5:24 AM,05/May/25 4:11 PM,High,Complete,Master - TrueNAS Nightlies,,,,COMMUNITY_USER,,,,Bug
NAS-135704,121138,Use 3 dot menu for more pages,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,05/May/25 4:46 AM,12/May/25 3:37 AM,Medium,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-135715,121154,System lost the IPv6 GUA Address ,SCALE-25.04.2 (Fangtooth),SCALE-25.10-ALPHA.1 (Goldeye),,,Done,05/May/25 8:19 AM,16/Jul/25 2:10 PM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,,,Bug
NAS-135720,121182,Allow migrating apps from one pool to another in the UI,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,05/May/25 12:04 PM,19/May/25 9:24 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-135728,121208,Make shutdown/reboot reasons an enterprise only feature,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,06/May/25 5:18 AM,19/May/25 9:24 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-135729,121209,Rsync tasks are gone after updating to latest nightly and replaced with dummy inserts,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,06/May/25 6:01 AM,12/May/25 3:37 AM,High,Complete,Master - TrueNAS Nightlies,,,,COMMUNITY_USER,ready_for_review,,,Bug
