Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Labels
Improvement,NAS-139990,145696,Make File Ticket and Save Debug items look like buttons on UI,26.0.0-BETA.1,,Done,25/Feb/26 3:27 PM,02/Apr/26 8:24 AM,Low,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,ready_for_assignment,,,
Bug,NAS-140389,151219,Failed to load datasets,26.0.0-BETA.1,26.0.0-BETA.2,Done,20/Mar/26 3:39 PM,01/Apr/26 9:12 AM,Low,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,mt_reviewed,ready_for_assignment,,
Bug,NAS-139925,144558,Opened side panels don't scroll in mobile browsers,26.0.0-BETA.1,,Done,21/Feb/26 1:40 AM,27/Mar/26 2:39 PM,Low,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-135490,120571,Application Info Widget Should Display App Version,26.0.0-BETA.1,,Done,22/Apr/25 10:55 AM,26/Mar/26 3:27 PM,Low,Complete,SCALE-25.04.0 (Fangtooth),,,es-2510,IX_EMPLOYEE,july-2510,ready_for_assignment,
Bug,NAS-139998,145901,Dialogs does not do well with hints and show them below the modal popup,26.0.0-BETA.1,26.0.0-BETA.2,Done,26/Feb/26 9:12 AM,24/Mar/26 5:52 AM,Low,Complete,,,,IX_EMPLOYEE,ready_for_assignment,,,
Bug,NAS-140344,150563,pool.get_disks returning virtual DRAID devices,26.0.0-BETA.1,26.0.0-BETA.2,Done,18/Mar/26 9:43 AM,18/Mar/26 3:20 PM,Blocker,Complete,,,,,,,,
Defect,NAS-140345,150564,Fix some log spam on first boot - PAM stack failed to allocate session UUID.,26.0.0-BETA.1,26.0.0-BETA.2,Done,18/Mar/26 9:48 AM,18/Mar/26 12:20 PM,High,Complete,26.0.0-BETA.1,,,,,,,
Bug,NAS-140259,149435,SNMP alerts broken,26.0.0-BETA.1,26.0.0-BETA.2,Done,12/Mar/26 10:06 AM,13/Mar/26 7:43 AM,Undefined,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,,,,
Improvement,NAS-139817,143260,L2ARC: Extended headroom for metadata persistent markers,26.0.0-BETA.1,26.0.0-BETA.2,Done,16/Feb/26 8:22 AM,10/Mar/26 3:49 PM,Low,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-133831,115984,L2ARC write improvements,26.0.0-BETA.1,26.0.0-BETA.2,Done,27/Jan/25 1:58 PM,10/Mar/26 2:57 PM,Low,Complete,SCALE-25.04-ALPHA.1 (Fangtooth),,,2604alpha2beta,IX_EMPLOYEE,jirabug,,
Bug,NAS-139834,143412,App update notifications,26.0.0-BETA.1,,Done,17/Feb/26 12:17 AM,08/Mar/26 6:30 PM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-140055,146772,change rwd to listen on 127.0.0.1 and a static port,26.0.0-BETA.1,,Done,02/Mar/26 12:29 PM,05/Mar/26 12:59 PM,High,Complete,,,,IX_EMPLOYEE,mt_reviewed,,,
Improvement,NAS-137252,125123,Allow MPIO for Fibre Channel,26.0.0-BETA.1,,Done,21/Aug/25 10:47 AM,02/Mar/26 3:47 PM,High,Complete,SCALE-25.04.3 (Fangtooth),,,2604alpha2beta,doc_impact,IX_EMPLOYEE,mt_reviewed,tests_impact
New Feature,NAS-138700,131490,Expose GPU device for LXC containers in UI,26.0.0-BETA.1,,Done,26/Nov/25 11:44 AM,02/Mar/26 3:46 PM,High,Complete,,,,IX_EMPLOYEE,mt_reviewed,,,
Bug,NAS-139038,134907,"ix-netif boot delay ~120s (interface.sync timeout) + dhcpcd logs ""unknown option: master"" on VLAN DHCP (26.04.0-MASTER-20251219-075007)",26.0.0-BETA.1,,Done,20/Dec/25 12:12 PM,02/Mar/26 3:45 PM,High,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,mt_reviewed,ready_for_assignment,,
Improvement,NAS-139230,135996,Add BRT support to zpool prefetch command,26.0.0-BETA.1,,Done,08/Jan/26 1:48 PM,02/Mar/26 3:39 PM,High,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,IX_EMPLOYEE,mt_reviewed,ready_for_assignment,,
Bug,NAS-139545,138921,Apps wont start after update to Dev build ,26.0.0-BETA.1,,Done,30/Jan/26 2:22 PM,02/Mar/26 3:10 PM,High,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,mt_reviewed,ready_for_review,,
Bug,NAS-139794,142929,"TrueNAS Nightly Update Fails with ""pool or dataset is busy"" and Sets Broken Boot Environment as Default",26.0.0-BETA.1,,Done,13/Feb/26 2:45 PM,02/Mar/26 3:06 PM,Blocker,Complete,,,,COMMUNITY_USER,mt_reviewed,,,
Defect,NAS-139820,143266,Fix available space accounting for special/dedup,26.0.0-BETA.1,,Done,16/Feb/26 9:50 AM,02/Mar/26 2:55 PM,High,Complete,SCALE-25.10.2 (Goldeye),,,IX_EMPLOYEE,mt_reviewed,,,
Improvement,NAS-139102,135378,consider changing nfs yaml dump to use CSafeLoader,26.0.0-BETA.1,,Done,29/Dec/25 10:22 AM,02/Mar/26 12:09 PM,Medium,Complete,SCALE-25.10.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,IX_EMPLOYEE,,,,
Bug,NAS-137715,126186,Samba spotlight AF_UNIX connection should be performed as root,26.0.0-BETA.1,,Done,24/Sep/25 2:37 PM,02/Mar/26 12:09 PM,Blocker,Complete,,,,2604alpha2beta,IX_EMPLOYEE,mt_reviewed,,
Improvement,NAS-139762,142651,update engineering Jenkins to point to new private build repo,26.0.0-BETA.1,,Done,12/Feb/26 12:47 PM,02/Mar/26 11:54 AM,Blocker,Complete,,,,IX_EMPLOYEE,mt_reviewed,,,
Bug,NAS-139812,143155,Cannot create/modify VMs or containers in TrueNAS 26 nightly,26.0.0-BETA.1,,Done,15/Feb/26 7:12 PM,02/Mar/26 11:48 AM,Blocker,Complete,,,,COMMUNITY_USER,mt_reviewed,ready_for_assignment,,
Bug,NAS-139705,141516,The time of the apps' logs don't follow the system timezone,26.0.0-BETA.1,N/A,Done,10/Feb/26 8:33 AM,02/Mar/26 11:44 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-139807,143047,Locking replicated encrypted dataset on read-only dataset shows error but works.  Likely UI bug.,26.0.0-BETA.1,,Done,14/Feb/26 7:04 PM,02/Mar/26 11:32 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-138934,134444,"Doing a refresh of the TrueNAS App catalog for updated apps does not refresh the Apps page, a page refresh is required",26.0.0-BETA.1,,Done,15/Dec/25 12:23 PM,02/Mar/26 6:34 AM,Medium,Complete,SCALE-25.10.0.1 (Goldeye),,,2604alpha2beta,COMMUNITY_USER,ready_for_assignment,,
Bug,NAS-139448,137972,TrueNAS connect icon is in a different shade of white,26.0.0-BETA.1,,Done,24/Jan/26 3:35 AM,02/Mar/26 6:34 AM,Low,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-138815,133081,Indicate TrueNAS Connect tier in header,26.0.0-BETA.1,,Done,05/Dec/25 12:15 PM,02/Mar/26 6:34 AM,Medium,Complete,,,,IX_EMPLOYEE,ready_for_assignment,,,
Improvement,NAS-139415,137549,Jobs view do not format the json content (arguments),26.0.0-BETA.1,,Done,21/Jan/26 2:18 PM,02/Mar/26 6:34 AM,Low,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-139711,141719,Allow configuring idmap/capabilities on container create/update in UI,26.0.0-BETA.1,,Done,10/Feb/26 1:48 PM,02/Mar/26 6:28 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-139786,142885,Increase margin/safe space at canvas edges for lower webUI elements to improve mobile/tablet operation,26.0.0-BETA.1,,Done,13/Feb/26 11:08 AM,02/Mar/26 6:28 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,IX_EMPLOYEE,ready_for_assignment,,,
New Feature,NAS-139870,143952,[Containers] Select Image Dialog Improvements,26.0.0-BETA.1,,Done,19/Feb/26 5:04 AM,02/Mar/26 6:28 AM,Medium,Complete,SCALE-25.04.2.1 (Fangtooth),,,IX_EMPLOYEE,,,,
Improvement,NAS-139862,143846,Rename Main Dashboard Widget Editor to Card Editor,26.0.0-BETA.1,26.0.0-BETA.2,Done,18/Feb/26 2:29 PM,02/Mar/26 6:27 AM,Low,Complete,Master - TrueNAS SCALE,,,IX_EMPLOYEE,ready_for_assignment,,,
Bug,NAS-139866,143851,Sidebar does not show up on screenshot when editing a user and submitting a bug via the webUI.,26.0.0-BETA.1,,Done,18/Feb/26 4:14 PM,02/Mar/26 6:27 AM,Low,Complete,,,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-139965,145271,Plex app with networks won't submit,26.0.0-BETA.1,N/A,Done,24/Feb/26 11:39 AM,02/Mar/26 6:27 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
New Feature,NAS-137282,125182,Web UI prevents removal of NVIDIA drivers once GPU is uninstalled,26.0.0-BETA.1,,Done,24/Aug/25 1:23 AM,02/Mar/26 6:27 AM,Medium,Complete,SCALE-25.04.2.1 (Fangtooth),,,COMMUNITY_USER,,,,
Bug,NAS-139226,135991,"When setting a certificate for the FTP service, check if the certificate is RSA or EC",26.0.0-BETA.1,,Done,08/Jan/26 1:04 PM,25/Feb/26 7:01 PM,Low,Complete,SCALE-25.10.2 (Goldeye),,,COMMUNITY_USER,waiting_for_feedback,,,
Bug,NAS-139571,139162,Empty System > Services in the web interface,26.0.0-BETA.1,,Done,01/Feb/26 7:27 AM,24/Feb/26 12:29 PM,Low,Complete,,,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-139856,143829,Use `reconnect_token` from login_ex instead of manually generating token,26.0.0-BETA.1,,Done,18/Feb/26 10:59 AM,24/Feb/26 10:39 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-139105,135397,"TrueCloud, There is no information about ",26.0.0-BETA.1,,Done,29/Dec/25 6:32 PM,24/Feb/26 8:33 AM,Undefined,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,,,,
Bug,NAS-139259,136311,Cannot create or write into the data directory /var/www/html/data,26.0.0-BETA.1,,Done,11/Jan/26 2:00 PM,24/Feb/26 8:33 AM,Undefined,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,,,,
Bug,NAS-139346,136891,"Apps Form, No error shown when list type has a `min` constrain.",26.0.0-BETA.1,,Done,16/Jan/26 8:54 AM,24/Feb/26 8:33 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-139535,138704,unable to edit Share ACL,26.0.0-BETA.1,,Done,29/Jan/26 12:59 PM,24/Feb/26 8:33 AM,Undefined,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,waiting_for_feedback,,,
Improvement,NAS-138749,132259,Group selection action button disappears when confirmation is canceled,26.0.0-BETA.1,,Done,01/Dec/25 8:32 PM,24/Feb/26 8:32 AM,Low,Complete,SCALE-25.10.0 (Goldeye),,,COMMUNITY_USER,waiting_for_feedback,,,
Improvement,NAS-138844,133391,Add error logging to audit_handler,26.0.0-BETA.1,,Done,08/Dec/25 2:36 PM,24/Feb/26 8:32 AM,Low,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138931,134409,Add a Description or Label Field to Add Host Screen and Manage Hosts Windows,26.0.0-BETA.1,,Done,15/Dec/25 10:34 AM,24/Feb/26 8:32 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,IX_EMPLOYEE,ready_for_review,,,
Bug,NAS-139917,144415,Please disable the ipa-epn.timer unit by default,26.0.0-BETA.1,,Done,20/Feb/26 3:33 PM,23/Feb/26 4:16 PM,Low,Complete,SCALE-25.10.2 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-139945,144922,Fix failing build of rwd package,26.0.0-BETA.1,,Done,23/Feb/26 10:53 AM,23/Feb/26 11:19 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-138418,128466,Do a connectivity check when we are about to call to outside resources,26.0.0-BETA.1,SCALE-26.04-ALPHA.1 (Halfmoon),Done,06/Nov/25 4:59 AM,23/Feb/26 11:10 AM,Low,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-139859,143843,Missing Group Configuration for Webshare Service,26.0.0-BETA.1,,Done,18/Feb/26 2:00 PM,23/Feb/26 10:34 AM,Medium,Complete,Master - TrueNAS Nightlies,,,IX_EMPLOYEE,,,,
Improvement,NAS-139736,142203,Remove trailing slash from TNC PUT /hostnames endpoint,26.0.0-BETA.1,,Done,11/Feb/26 11:35 AM,23/Feb/26 9:13 AM,Low,Complete,26.0.0-BETA.1,SCALE-25.10.2 (Goldeye),,IX_EMPLOYEE,tnc_hotfix,,,
Improvement,NAS-139905,144394,Optional product types argument to alert.list_categories,26.0.0-BETA.1,,Done,20/Feb/26 12:13 PM,23/Feb/26 8:54 AM,Low,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-139356,136938,PCIE passthrough broken,26.0.0-BETA.1,,Done,17/Jan/26 2:14 AM,22/Feb/26 1:00 PM,Low,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-139853,143794,Rework session timeout user settings,26.0.0-BETA.1,,Done,18/Feb/26 9:00 AM,19/Feb/26 1:14 PM,Low,Complete,Master - TrueNAS Nightlies,,,doc_impact,IX_EMPLOYEE,tests_impact,,
Bug,NAS-139773,142671,Issues at Rsync setup for Hetzner: remote path validation and 'Host key not found',26.0.0-BETA.1,,Done,12/Feb/26 4:03 PM,18/Feb/26 6:33 PM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Improvement,NAS-137013,124655,Add tests for method usage stats,26.0.0-BETA.1,,Done,05/Aug/25 6:01 AM,18/Feb/26 10:32 AM,Low,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-139752,142605,Expose product type in alert.list_categories for each class/id,26.0.0-BETA.1,,Done,12/Feb/26 11:14 AM,18/Feb/26 10:04 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-139803,142975,Unable to set secondary interface aliases in 26.04 MASTER (KeyError: 'alias_interface_id'),26.0.0-BETA.1,,Done,13/Feb/26 10:38 PM,14/Feb/26 11:20 AM,Medium,Complete,Master - TrueNAS Nightlies,,,COMMUNITY_USER,,,,
Bug,NAS-135633,120981,Reporting -> CPU stacks total plus individual CPU,26.0.0-BETA.1,,Done,30/Apr/25 10:29 AM,13/Feb/26 10:11 AM,Low,Complete,SCALE-25.04.0 (Fangtooth),,,es-2510,IX_EMPLOYEE,july-2510,ready_for_assignment,
Improvement,NAS-138470,128796,Improve error handling for apps on creation,26.0.0-BETA.1,,Done,09/Nov/25 10:32 PM,13/Feb/26 8:30 AM,Medium,Complete,,,,2604alpha2beta,IX_EMPLOYEE,,,
Bug,NAS-139741,142336,Update TrueNAS snmp MIB,26.0.0-BETA.1,,Done,11/Feb/26 3:07 PM,12/Feb/26 11:58 AM,Undefined,Complete,SCALE-25.10.2 (Goldeye),,,IX_EMPLOYEE,,,,
Bug,NAS-139519,138448,WebUI displays ENOENT/EINVAL tracebacks after exporting a pool via CLI midclt,26.0.0-BETA.1,,Done,28/Jan/26 3:34 AM,10/Feb/26 11:44 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-139324,136760,Wrong date when creating replication task,26.0.0-BETA.1,,Done,15/Jan/26 6:53 AM,06/Feb/26 4:52 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-139361,137010,Misleading Nomenclature of authorized keys with new Users page,26.0.0-BETA.1,,Done,18/Jan/26 4:14 AM,06/Feb/26 4:52 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
